id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1496390213584699392,1496390213584699392,2022-02-23 02:43:23 Eastern Standard Time,2022-02-23,02:43:23,-0400,3424441204,bagholderquotes,Bag Holder,,"“Half my net worth is tied to Tesla. My best advice is halt all spending that you possibly can, delay big purchases, and just try to do best you can to increase income in order to not to sell stock. These times really suck.” $TSLA  https://t.co/UYKiOg2Xqn",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FMQ-9bvXEAAuMyA.jpg'],3,10,85,[],['tsla'],https://twitter.com/BagholderQuotes/status/1496390213584699392,False,,1,https://pbs.twimg.com/tweet_video_thumb/FMQ-9bvXEAAuMyA.jpg,,,,,,,[],,,,
1496159498330775556,1496159498330775556,2022-02-22 11:26:36 Eastern Standard Time,2022-02-22,11:26:36,-0400,349249475,gerberkawasaki,Ross Gerber,,WSJ reporting tesla Berlin could be approved at any time. Delays from a change in plans to expand battery production. Worth it. Expect to see this approved any day. $tsla,en,[],[],[],56,69,1039,[],['tsla'],https://twitter.com/GerberKawasaki/status/1496159498330775556,False,,0,,,,,,,,[],,,,
1492650986309136386,1492650986309136386,2022-02-12 19:05:01 Eastern Standard Time,2022-02-12,19:05:01,-0400,2694154514,jefftutorials,Jeff 💙✌️,,I cannot stand chatting with my Tesla delivery advisor over SMS.   It's slow and there are major delays between responses.  Why can't Tesla build a chat interface in the Tesla mobile app with read receipts and attachments?  Yo @elonmusk ^^^,en,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[],[],191,112,4500,[],[],https://twitter.com/JeffTutorials/status/1492650986309136386,False,,0,,,,,,,,[],,,,
1492483815129894913,1492483815129894913,2022-02-12 08:00:45 Eastern Standard Time,2022-02-12,08:00:45,-0400,1308211178,teslarati,TESLARATI,,Tesla factory delays show 'how we stand in our own way': German industry experts sound off  https://t.co/sLwdrlfl1C by @KlenderJoey,en,"[{'screen_name': 'klenderjoey', 'name': 'joey klender 🇺🇦', 'id': '1166039075847114752'}]",['https://www.teslarati.com/tesla-factory-delays-show-how-we-stand-in-our-own-way-german-industry-experts-sound-off/'],[],30,55,563,[],[],https://twitter.com/Teslarati/status/1492483815129894913,False,,0,,,,,,,,[],,,,
1492090958778937344,1492090958778937344,2022-02-11 05:59:40 Eastern Standard Time,2022-02-11,05:59:40,-0400,1308211178,teslarati,TESLARATI,,Tesla Giga Berlin’s delays are shining a light on Germany’s cumbersome approval processes  https://t.co/OUNqId93FS by @ResidentSponge,en,"[{'screen_name': 'residentsponge', 'name': 'simon alvarez', 'id': '798749450223030272'}]",['https://www.teslarati.com/tesla-giga-berlin-delays-analyzed-officials/'],[],28,48,418,[],[],https://twitter.com/Teslarati/status/1492090958778937344,False,,0,,,,,,,,[],,,,
1491886080571973635,1491886080571973635,2022-02-10 16:25:34 Eastern Standard Time,2022-02-10,16:25:34,-0400,718747351792398336,alex_avoigt,Alex,,"🇩🇪 Giga Berlin  Brandenburgs Wirtschaftsminister Jörg Steinbach, ""The Tesla settlement is a showcase project and even if there are delays, overall we can talk about a tremendously fast project""  True for German standards",en,[],[],[],66,31,459,[],[],https://twitter.com/alex_avoigt/status/1491886080571973635,False,,0,,,,,,,,[],,,,
1491494923291480070,1491494923291480070,2022-02-09 14:31:15 Eastern Standard Time,2022-02-09,14:31:15,-0400,1308211178,teslarati,TESLARATI,,Tesla Gigafactory Berlin approval delays push back production start to mid-March: rbb24  https://t.co/QcwlgjnDrL by @KlenderJoey,en,"[{'screen_name': 'klenderjoey', 'name': 'joey klender 🇺🇦', 'id': '1166039075847114752'}]",['https://www.teslarati.com/tesla-gigafactory-berlin-production-approval-delays-mid-march-rbb24/'],[],42,38,348,[],[],https://twitter.com/Teslarati/status/1491494923291480070,False,,0,,,,,,,,[],,,,
1491463256745164806,1491462281124884480,2022-02-09 12:25:25 Eastern Standard Time,2022-02-09,12:25:25,-0400,718747351792398336,alex_avoigt,Alex,,"Further delay arises because the authorities still have to issue an operating permit after the construction permit  According to rbb research, Tesla may not let the first cars roll off the assembly line for sale until mid-March at the earliest",en,[],[],[],31,8,129,[],[],https://twitter.com/alex_avoigt/status/1491463256745164806,False,,0,,,,,,,,[],,,,
1491462281124884480,1491462281124884480,2022-02-09 12:21:32 Eastern Standard Time,2022-02-09,12:21:32,-0400,718747351792398336,alex_avoigt,Alex,,RBB reports the current 🇩🇪 Giga Berlin permit delay is due to authorities who are still reviewing the safety precautions  Tesla had repeatedly changed quantities for toxic chemicals that could leak in accidents and plans for cleaning up wastewater also still need to be examined,en,[],[],[],41,18,208,[],[],https://twitter.com/alex_avoigt/status/1491462281124884480,False,,0,,,,,,,,[],,,,
1490369919409610753,1490369919409610753,2022-02-06 12:00:53 Eastern Standard Time,2022-02-06,12:00:53,-0400,809837854981582848,ctr4autosafety,Center for Auto Safety,,"With such a high number and frequency of @Tesla recalls, combined with delays in providing remedies, @NHTSAgov should seek the maximum civil penalty available for such behavior.  https://t.co/jBR0ec6Mtr  https://t.co/csgqKJ8ej4",en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}, {'screen_name': 'nhtsagov', 'name': 'nhtsagov', 'id': '49706919'}]",['https://tinyurl.com/3n3u9x96'],['https://pbs.twimg.com/media/FK7bi0sXwAMpXZR.png'],73,40,224,[],[],https://twitter.com/Ctr4AutoSafety/status/1490369919409610753,False,,1,https://pbs.twimg.com/media/FK7bi0sXwAMpXZR.png,,,,,,,[],,,,
1488128458819473413,1488128458819473413,2022-01-31 07:34:07 Eastern Standard Time,2022-01-31,07:34:07,-0400,1263491240336769026,wholemarsblog,Whole Mars Catalog,,"General Motors says they’ll try and build their cell plants close to all their assembly lines to minimize shipping delays + costs.   Tesla is instead building one massive factory where cell production, pack assembly, and car body are all built under one roof.  https://t.co/bNcObbdrID",en,[],[],"['https://pbs.twimg.com/media/FKbk8kRVEA0rlqw.jpg', 'https://pbs.twimg.com/media/FKbk8kSUUAAv6WB.jpg']",11,11,140,[],[],https://twitter.com/WholeMarsBlog/status/1488128458819473413,False,,1,https://pbs.twimg.com/media/FKbk8kRVEA0rlqw.jpg,,,,,,,[],,,,
1486545349942472704,1486545349942472704,2022-01-26 22:43:24 Eastern Standard Time,2022-01-26,22:43:24,-0400,1121921810491035648,yingshirleymen1,Ying Shirley Meng,,"(#Battery) after listening to #TSLA earning call after work: 1. 4680 is a reality and focus is scaling (USA made) 2. Structural battery pack coming up  3. No roadster yet - darn…have to delay my upgrade  4. Chip shortage is an issue, not battery - surprising  Bravo @Tesla team!",en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}]",[],[],6,15,386,"['battery', 'tsla']",[],https://twitter.com/YingShirleyMen1/status/1486545349942472704,False,,0,,,,,,,,[],,,,
